Model|Release Date|Hashrate|Price|Revenue 24h|Profit 24h
GeForce RTX 2080|Sep 2018|"41.00 Mh/s
                
                  Ethash4G · 160W"|$800.61|$0.05|-$0.34
Radeon R9 380 4GB|May 2015|"19.00 Mh/s
                
                  Ethash4G · 150W"|$89.99|$0.02|-$0.34
GeForce RTX 5080|Jan 2025|"120.00 Mh/s
                
                  Ethash4G · 200W"|$1,299.99|$0.14|-$0.34
Radeon RX Vega 56|Aug 2017|"49.00 Mh/s
                
                  Ethash4G · 170W"|$752.99|$0.06|-$0.35
RTX A4500              (*)|Nov 2021|"87.00 Mh/s
                
                  Ethash4G · 190W"|$1,799.00|$0.10|-$0.36
GeForce RTX 4070 Ti Super|Jan 2024|"83.00 Mh/s
                
                  Ethash4G · 190W"|$1,701.19|$0.09|-$0.36
GeForce GTX 1080|May 2016|"34.00 Mh/s
                
                  Ethash4G · 170W"|$442.79|$0.04|-$0.37
GeForce RTX 2080 Ti|Sep 2018|"55.20 Mh/s
                
                  Ethash4G · 180W"|$1,299.99|$0.06|-$0.37
Radeon RX Vega 64|Aug 2017|"50.00 Mh/s
                
                  Ethash4G · 180W"|$749.99|$0.06|-$0.38
GeForce GTX 1080 Ti|Mar 2017|"49.00 Mh/s
                
                  Ethash4G · 180W"|$483.82|$0.06|-$0.38
GeForce RTX 4080 Super|Jan 2024|"87.00 Mh/s
                
                  Ethash4G · 200W"|$1,099.99|$0.10|-$0.38
GeForce RTX 4080|Nov 2022|"87.00 Mh/s
                
                  Ethash4G · 200W"|$1,498.07|$0.10|-$0.38
GeForce RTX 3070 Ti|Jun 2021|"80.00 Mh/s
                
                  Ethash4G · 200W"|$699.99|$0.09|-$0.39
Radeon RX 7900 XTX              (*)|Dec 2022|"100.00 Mh/s
                
                  Ethash4G · 220W"|$959.99|$0.11|-$0.42
RTX A5000              (*)|Apr 2021|"99.00 Mh/s
                
                  Ethash4G · 230W"|$2,229.99|$0.11|-$0.44
GeForce RTX 3080|Sep 2020|"98.00 Mh/s
                
                  Ethash4G · 240W"|$1,892.75|$0.11|-$0.47
GeForce RTX 4090|Oct 2022|"127.00 Mh/s
                
                  Ethash4G · 260W"|$2,935.00|$0.14|-$0.48
Radeon R9 Fury|Jul 2015|"29.00 Mh/s
                
                  Ethash4G · 220W"|$443.10|$0.03|-$0.50
GeForce RTX 3080 LHR|Jun 2021|"98.00 Mh/s
                
                  Ethash4G · 260W"||$0.11|-$0.51
GeForce RTX 5090              (*)|Jan 2025|"160.00 Mh/s
                
                  Ethash4G · 290W"|$2,550.95|$0.18|-$0.52
GeForce RTX 3080 12GB|Jan 2022|"101.50 Mh/s
                
                  Ethash4G · 280W"|$680.00|$0.11|-$0.56
Radeon RX 7900 XT              (*)|Dec 2022|"83.00 Mh/s
                
                  Ethash4G · 300W"|$650.26|$0.09|-$0.63
GeForce RTX 3090|Sep 2020|"119.00 Mh/s
                
                  Ethash4G · 320W"|$1,815.73|$0.13|-$0.63
GeForce RTX 3080 Ti|Jun 2021|"117.00 Mh/s
                
                  Ethash4G · 330W"|$1,508.54|$0.13|-$0.66
GeForce RTX 3090 Ti|Mar 2022|"128.00 Mh/s
                
                  Ethash4G · 350W"|$1,990.00|$0.14|-$0.70
