gpu,arima_rmse,arima_mae,lstm_rmse,lstm_mae,monero_arima_rmse,monero_arima_mae,monero_rmse,monero_mae,eth_arima_rmse,eth_arima_mae,eth_rmse,eth_mae,ai_arima_rmse,ai_arima_mae,ai_rmse,ai_mae,arima_rel_rmse,arima_rel_mae,lstm_rel_rmse,lstm_rel_mae,monero_rel_rmse,monero_rel_mae,eth_rel_rmse,eth_rel_mae,ai_rel_rmse,ai_rel_mae
AMD 100-300000006 Radeon PRO W7700 16 GB Video Card (100-300000006) - PCPartPicker,10.072842716693305,9.096750111099537,12.420572455572607,12.420572374131947,2.0868022369022055,1.9209613109877333,992.8773818949105,992.8773818948534,2.2422987433776003,2.0762223603991425,993.0911058498843,993.0911058497429,2.138321269966768,1.9745930934233493,992.6002836947972,992.6002836947971,0.010165181558339962,0.009180141005967373,0.01253443319036153,0.012534433108174294,1.001979196538497,1.0019791965384393,1.0021948797241456,1.002194879724003,1.0016995581491301,1.00169955814913
AMD 100-300000074 Radeon PRO W7900 48 GB Video Card (100-300000074) - PCPartPicker,63.948335797583695,57.11976639238108,64.97996661084422,44.65030154079861,62.92442014999073,56.24127926013054,3462.1373315972724,3461.627953739696,62.94389443633204,56.54310101035569,3462.340184003432,3461.8308729804885,62.90990833175901,55.98203543615881,3461.3328354826117,3460.823375827471,0.017161368161974232,0.01532883269219734,0.01743821971679248,0.011982489516384937,0.9291096106538689,0.9289729124765292,0.9291640487370688,0.9290273684956728,0.9288937136514469,0.9287569935226665
AMD 100-300000075 Radeon PRO W7800 32 GB Video Card (100-300000075) - PCPartPicker,23.19422691143551,19.934543461147435,4.9530509437776935,4.8794542100694445,11.704952639390093,10.428897078909111,2378.1378381282134,2378.1375167568526,11.858182801354538,10.558947018184815,2377.434602436367,2377.434280839231,11.417970056483444,10.204904022724097,2377.3941053174344,2377.393783770667,0.009580033334675095,0.0082336691625262,0.002045784639898459,0.002015386594516717,0.9822547589412375,0.9822546262035368,0.9819642978107267,0.9819641649797729,0.9819475710730425,0.9819474382628928
AMD 100-300000077 Radeon PRO W7600 8 GB Video Card (100-300000077) - PCPartPicker,2.112491835530589,1.7502687463015212,0.31481137386629116,0.31480170355902776,0.20242426029078572,0.18345045182224137,578.5634688626473,578.5634688142273,0.36423737475899,0.34710469044942,577.4719796511862,577.4719796511862,0.24220608345039146,0.2235474332934536,577.3196503573166,577.3196503572993,0.0035896903235381316,0.002974176125330076,0.0005349489751867998,0.0005349325427406123,0.9831345384619011,0.9831345383796227,0.9812798054898119,0.9812798054898119,0.9810209571558216,0.9810209571557923
AMD 100-300000078 Radeon PRO W7500 8 GB Video Card (100-300000078) - PCPartPicker,3.3795278814618013,3.156730352237941,3.164957660675052,3.020248765733499,3.7400765973746712,3.482566855072556,423.46705900079854,423.46486387221006,3.764111774161864,3.5067917445807595,424.5950351424556,424.5928470025591,3.7290165679303144,3.4719076918969938,422.82952033171216,422.8273231132294,0.007868767879228435,0.007350014342337994,0.007369170503385684,0.007032235657959227,0.9859850572783267,0.9859799462220095,0.9886113952590531,0.9886063004749481,0.9845006357919435,0.9844955198695936
AMD 100-506095 Radeon Pro W5500 8 GB Video Card (100-506095) - PCPartPicker,0.7417639809340153,0.6832546195139394,0.3410263708912804,0.3410169135199744,0.25386763364829684,0.23419222085984567,388.9810030712795,388.9809988555642,0.23845532296168304,0.21830895940512582,388.72077890873015,388.72077890872947,0.25638517246694326,0.2366038433021913,388.0697491735882,388.06974917358815,0.001888572207419607,0.0017396041303869559,0.0008682720415346451,0.000868247962543129,0.9903671929305614,0.9903671821971167,0.9897046477898943,0.9897046477898925,0.9880470900011693,0.9880470900011692
AMD 100-506163 Radeon Pro VII 16 GB Video Card (100-506163) - PCPartPicker,373.2437772035462,329.90468388759217,6.1887992970949055,6.188798963758667,413.8663256299215,381.94679700428765,706.4247529574538,706.4247529457676,412.6685617993321,380.6642420145096,705.370672575361,705.3706725541753,415.6949732341115,383.7606225733115,705.6476550131957,705.6476550099586,0.4228706816763737,0.37376917469060816,0.007011668880667197,0.007011668503010203,0.8003517676150669,0.8003517676018269,0.799157535542246,0.7991575355182434,0.7994713458706515,0.799471345866984
AMD 100-506189 Radeon PRO W6400 4 GB Video Card (100-506189) - PCPartPicker,26.903909793565507,23.667168894610867,26.32958706185735,23.055665323893223,26.27520028534183,23.027792867203097,251.757709146747,251.436035674572,26.339852877473373,23.059912408635768,250.83800026253476,250.51509460120732,26.246368385551634,22.994489636862163,252.47847287309003,252.15767652434775,0.11563192488755604,0.10172054236433942,0.1131635088289363,0.09909232455138027,1.082044533203209,1.0806619935255835,1.07809166131828,1.076703825741114,1.0851423467814458,1.0837635769451435
AMD 100-506208 Radeon PRO W6600 8 GB Video Card (100-506208) - PCPartPicker,5.232342849207531,4.902652115261027,12.30195416130961,12.301954074435773,1.6531521153207096,1.5262000894683183,584.6381738448148,584.6381738448141,1.3548746255312984,1.2194470837097393,582.9533415434098,582.9533415434094,1.641762116374684,1.5150924009549258,582.8417030504044,582.8417030504013,0.009065669976628095,0.008494440706213604,0.021314630884887595,0.021314630734368113,1.012956698855915,1.012956698855914,1.0100375221026539,1.010037522102653,1.0098440948438823,1.009844094843877
Asus DUAL OC GeForce RTX 5050 8 GB Video Card (dual-rtx5050-o8g) - PCPartPicker,10.721853531642894,6.139926828151924,8.98179841085379,8.405793646918399,10.537677886181859,5.654200109500649,254.30387032691908,254.1466280297703,10.544336761724354,5.6484597693499605,254.70219725990464,254.54526999224558,10.565181664921766,5.63516619346741,253.20184726731182,253.04378394381206,0.04135711121336562,0.023683371156339332,0.034645244376584235,0.032423437017324946,0.9809193360141113,0.9803128096190775,0.9824557915549508,0.9818504803145173,0.9766685327270338,0.9760588394096011
Asus PRIME GeForce RTX 5060 Ti 16 GB Video Card (prime-rtx5060ti-16g) - PCPartPicker,33.1647896932906,28.07033752727357,134.6430781865923,64.46243452127773,35.493704705775095,29.80770015815912,448.58945393182086,448.1717878907521,35.49831083181458,29.810228719098717,449.0051980027675,448.5878986792034,35.48996417615795,29.80526278202007,449.5047468285526,449.0879328313403,0.06952031091483432,0.05884127746406875,0.282239952209192,0.13512669706912073,0.9403369838574621,0.9394614687915686,0.941208470073431,0.9403337237238532,0.9422556285208957,0.9413818995164958
Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker,8.642975580966286,4.632051778136968,8.928849895568927,4.479150770399316,9.057014751119455,6.024851040121259,675.1267139161248,675.0825366453593,8.880629336426715,5.698017273544538,676.3098808898496,676.2657670096819,8.792104013252551,5.528764024328936,676.1409574487518,676.0968323491942,0.010772557514561583,0.005773364013696427,0.011128869697460115,0.005582789033533851,0.8414742454317234,0.8414191831229503,0.8429489382796183,0.8428939549805397,0.8427383930261073,0.8426833957432425
Asus ROG Astral OC GeForce RTX 5090 32 GB Video Card (rog-astral-rtx5090-o32g-gaming) - PCPartPicker,22.414755766704054,16.997682858989897,493.56737930819685,493.445845377604,10.096618971523336,2.965548022358371,3359.1215597020528,3359.1037007081763,10.208001345324694,3.0636785712212866,3358.5835187678745,3358.565659719201,10.438532454370444,3.5726352317169483,3358.60174988502,3358.583888852754,0.007537079766358749,0.00571556044977214,0.16596463270166315,0.16592376627694136,1.1295223291247412,1.129516323943922,1.129341410024811,1.1293354048255662,1.1293475403340405,1.1293415344678022
Asus ROG STRIX GAMING OC GeForce RTX 4090 24 GB Video Card (ROG-STRIX-RTX4090-O24G-GAMING) - PCPartPicker,4.162753215069193,3.404210658134328,43.88167670608748,43.88167670355892,3.5251880743635557,3.232962468963746,2078.2336912920055,2078.233691288232,3.990061398505495,3.697564769130981,2076.2171726577076,2076.217172657648,3.838523413497303,3.5430710895340427,2078.455641040736,2078.455641040735,0.0020341581052143753,0.0016634910465106697,0.021443084355554573,0.02144308435431897,1.0155432448812498,1.0155432448794057,1.0145578591251536,1.0145578591251243,1.0156517021586824,1.015651702158682
Asus STRIX GAMING OC GeForce RTX 3090 24 GB Video Card (ROG-STRIX-RTX3090-O24G-GAMING) - PCPartPicker,106.93859424319061,102.48576228007542,3.952192181046493,3.952192111545148,12.291781595499254,11.585282818835347,1296.980370834443,1296.9803707636727,19.103891823024444,17.138840516288614,1297.9562538687435,1297.956253868739,14.668868334212622,13.443359962808863,1297.785267576642,1297.7852675766417,0.08226108988776114,0.07883580818319788,0.0030401712175066676,0.0030401711640436835,0.9976848828332856,0.9976848827788465,0.9984355678649401,0.9984355678649366,0.9983040389361779,0.9983040389361777
Asus TUF GAMING OC GeForce GTX 1660 SUPER 6 GB Video Card (TUF-GTX1660S-O6G-GAMING) - PCPartPicker,2.8831730345228177,2.651230367244653,1.3566403572789463,1.3566347927517453,1.4832529441744207,1.3711958129523585,268.7034744413477,268.7034741094377,1.3929261770109855,1.281104062882346,268.30019302897097,268.30019299427664,1.4381945505516518,1.3272310360329345,268.6162693405151,268.61626934051515,0.010767685612828651,0.009901457435904284,0.005066597350190924,0.005066576568545574,1.0035174792545989,1.0035174780150264,1.00201135825181,1.0020113581222383,1.0031917974108953,1.0031917974108955
Asus TUF GAMING OC GeForce RTX 4070 Ti 12 GB Video Card (TUF-RTX4070TI-O12G-GAMING) - PCPartPicker,0.9879731074952659,0.9439721319320964,1.9651022784386378,1.9651014539930556,0.07206203284002188,0.06966837806635087,857.3744596950323,857.374459652106,0.07138958761319564,0.06950494317017678,857.8079261597856,857.807926159766,0.005181330017288001,0.003371104984482069,855.8144012506096,855.8144012504154,0.0011514500069415936,0.0011001683240361797,0.002290261764194784,0.0022902608033307037,0.999241598863176,0.9992415988131468,0.9997467897029494,0.9997467897029266,0.9974234023019215,0.9974234023016951
Asus TUF GAMING OC GeForce RTX 4070 Ti SUPER 16 GB Video Card (tuf-rtx4070tis-o16g-gaming) - PCPartPicker,10.493049406474148,5.761034621984404,11.471079672129601,5.296420410156244,11.937330757629859,6.017457579288892,854.8773734381446,854.8164912635089,11.896356411923223,5.940714679376266,853.5285054396306,853.4675273429024,11.941257949774364,6.02441330865633,854.3449783494074,854.284052964449,0.012256761797259035,0.0067293716375583,0.013399183178526206,0.006186663269246851,0.9985684738730874,0.9984973583867018,0.9969928829163223,0.9969216553848872,0.9979465917555157,0.9978754257958491
